mjd,mag,magerr,clcoeff
57982.993,17.46,0.03,
57983.000,17.33,0.02,
57983.028,17.56,0.04,
57983.050,17.14,0.08,
57983.405,17.20,0.02,
57983.419,17.32,0.07,
57983.741,17.75,0.02,
57983.758,17.89,0.03,
57983.969,17.99,0.01,
57983.969,17.69,0.02,
57983.976,17.98,0.08,
57983.977,17.93,0.02,
57983.978,17.97,0.02,
57983.978,18.04,0.02,
57983.979,17.94,0.02,
57983.980,17.68,0.13,
57983.981,17.91,0.03,
57983.987,17.95,0.02,
57983.988,17.98,0.02,
57983.990,17.99,0.03,
57983.991,18.00,0.06,
57983.997,18.02,0.03,
57983.999,18.02,0.02,
57984.000,18.04,0.02,
57984.000,17.95,0.02,
57984.008,18.01,0.02,
57984.009,18.01,0.02,
57984.010,18.07,0.03,
57984.010,18.29,0.06,
57984.018,18.03,0.02,
57984.019,18.05,0.03,
57984.020,18.04,0.02,
57984.047,17.98,0.02,
57984.309,18.26,0.04,
57984.365,18.34,0.11,
57984.456,18.46,0.17,
57984.738,18.93,0.10,
57984.741,18.90,0.11,
57984.761,18.80,0.07,
57984.960,19.18,0.10,
57984.968,19.10,0.11,
57984.969,19.13,0.17,
57984.969,18.77,0.04,
57984.976,19.34,0.08,
57984.977,19.03,0.03,
57984.978,19.29,0.12,
57984.980,19.12,0.06,
57984.985,18.78,0.03,
57984.985,19.15,0.06,
57985.009,18.93,0.02,
57985.357,19.36,0.09,
57985.384,19.34,0.08,
57985.397,19.37,0.09,
57985.479,19.18,0.12,
57985.726,19.75,0.12,
57985.776,19.52,0.13,
57985.973,20.04,0.08,
57985.974,19.81,0.02,
57985.979,19.28,0.01,
57985.985,19.29,0.04,
57986.003,20.18,0.10,
57986.008,19.82,0.09,
57986.020,19.74,0.02,
57986.039,19.66,0.01,
57986.494,19.86,0.21,
57986.715,20.30,0.31,
57986.969,20.25,0.28,
57986.974,20.53,0.05,
57986.984,20.25,0.05,
57986.989,19.86,0.01,
57986.997,20.58,0.12,
57987.004,20.92,0.12,
57987.358,20.69,0.33,
57987.490,20.23,0.23,
57987.969,20.39,0.03,
57987.983,20.79,0.24,
57988.020,20.74,0.03,
57988.980,21.31,0.07,
57988.985,20.95,0.35,
57989.987,21.23,0.11,
57990.039,21.74,0.04,
57990.989,21.75,0.05,
57990.997,21.95,0.18,
57991.989,22.20,0.04,
57992.989,22.45,0.07,
57994.969,23.12,0.31,
